"","STATE__","BGN_DATE","BGN_TIME","TIME_ZONE","COUNTY","COUNTYNAME","STATE","EVTYPE","BGN_RANGE","BGN_AZI","BGN_LOCATI","END_DATE","END_TIME","COUNTY_END","COUNTYENDN","END_RANGE","END_AZI","END_LOCATI","LENGTH","WIDTH","F","MAG","FATALITIES","INJURIES","PROPDMG","PROPDMGEXP","CROPDMG","CROPDMGEXP","WFO","STATEOFFIC","ZONENAMES","LATITUDE","LONGITUDE","LATITUDE_E","LONGITUDE_","REMARKS","REFNUM"
"273753",46,"6/20/1996 0:00:00","02:00:00 PM","CST",127,"UNION","SD","HAIL",5,"N","ELK PT","6/20/1996 0:00:00","02:00:00 PM",0,NA,5,"N","ELK PT",0,0,NA,100,0,0,0,"",0,"","FSD","SOUTH DAKOTA, Southeast","",4245,9640,4245,9640,"",273743
"786503",72,"9/5/2009 0:00:00","06:42:00 AM","AST",4,"PRZ004","PR","LANDSLIDE",0,"","","9/5/2009 0:00:00","06:42:00 AM",0,NA,0,"","",0,0,NA,0,0,0,0,"K",0,"K","SJU","PUERTO RICO","EASTERN INTERIOR - EASTERN INTERIOR",0,0,0,0,"EPISODE NARRATIVE: A tropical wave emerged from the coast of Africa on August 25th, which moved westward near the Cape Verde Islands on the 26th.  The system organized as it crossed the Atlantic, developing a low pressure area by the 28th. The system became well-enough organized to be classified a tropical storm during the afternoon of September 1st.  A tropical storm watch was issued for the U.S. Virgin Islands and Puerto Rico at 5 pm September 2nd, followed by a tropical storm warning at 11 am on September 3rd. The system moved generally westward, and experienced moderate vertical wind shear through most of its existence as a tropical cyclone.  As the surface circulation left most of the associated thunderstorms behind, the system tracked south of due west due to the low-level flow pattern Erika was embedded within. By the 3rd of September, Erika weakened into a tropical depression at 5 pm on September 3rd, and soon devolved into a remnant low during the evening.  The remnant disturbance led to heavy rains over the U.S. Virgin Islands and Puerto Rico,  which caused flooding in many communities. Minor to moderate flooding was reported in Puerto Rico.The core of the heavy rain fell along the Eastern third of the island. 
The hardest hit basin was the Rio Grande de Loiza with a large percentage of its flow coming from the Rio Gurabo one of its larger b",786473
"814171",29,"6/14/2010 0:00:00","09:00:00 AM","CST",127,"MARION","MO","FLOOD",2,"ENE","TAYLOR HAERR FLD ARP","6/30/2010 0:00:00","11:59:00 PM",0,NA,1,"W","HANNIBAL",0,0,NA,0,0,0,0,"K",0,"K","LSX","MISSOURI, East","                                                                                                                                                                                                        ",3957,9129,3942,9124,"EPISODE NARRATIVE: Moderate flooding affected areas along the Mississippi River from mid June through the end of the month. There was little damage other than some roads near the river being closed and some low-land farm fields flooded.EVENT NARRATIVE: ",814131
"300285",40,"6/16/1997 0:00:00","09:14:00 PM","CST",19,"CARTER","OK","HAIL",0,"","TUSSY","6/16/1997 0:00:00","09:14:00 PM",0,NA,0,"","TUSSY",0,0,NA,175,0,0,0,"",0,"","OUN","OKLAHOMA, Western, Central and Southeast","",3430,9732,3430,9732,"
Summary of events of June 16, 1997:

Severe thunderstorms developed and moved across much of Oklahoma during the afternoon and evening of the 16th.  Numerous reports of large hail, damaging thunderstorm winds, and flash flooding were received from across the region.  

The largest hail fell east of Seminole in Seminole County, where grapefruit-sized hail was reported. Elsewhere, a combination of strong winds and hail as large as golf balls caused extensive damage in Tonkawa in Kay County and across much of Grant County.

The strongest estimated wind speed during the event was 80 mph in Comanche in Stephens County, which suffered widespread tree, limb, and structural damage.  Other major structural damage was reported in Kingston in Marshall County, northeast of Eldorado and in Altus in Jackson County, northwest of Hydro in Blaine County, in Seminole in Seminole County, and in Duncan in Stephens County.  More minor damage, mainly to trees and utility poles, occurred in Sayre and Elk City in Beckham County, in Marietta in Love County, in Arapaho and west of Custer City in Custer County, in Mannsville in Johnston County, east of Holdenville in Hughes County, in Shawnee in Pottawatomie County, in Marlow in Stephens County, and in Wewoka in Seminole County.  

Flash flooding was particularly severe in Ponca City in Kay County, where several people were rescued from flooded vehicles and seven homes were flooded.  Flash flooding was also reported in Gerty in Hughes County and in and around Comanche in Stephens County.

See preceding individual Storm Data entries for further details and additional reports.
",300245
"253373",12,"8/19/1996 0:00:00","02:15:00 PM","EST",21,"COLLIER","FL","WATERSPOUT",5,"N","MARCO IS ARPT","8/19/1996 0:00:00","02:15:00 PM",0,NA,5,"N","MARCO IS ARPT",0,0,NA,0,0,0,0,"",0,"","MFL","FLORIDA, Southern","",0,0,0,0,"A waterspout touched down twice about five miles north of Marco Island.",253322
"607877",12,"4/8/2006 0:00:00","06:15:00 PM","EST",79,"MADISON","FL","TSTM WIND",0,"","LEE","4/8/2006 0:00:00","06:15:00 PM",0,NA,0,"","LEE",0,0,NA,50,0,0,0.5,"K",0,"","TAE","FLORIDA, Northwest","",3025,8318,3025,8318,"A few downed trees reported by WCTV Tallahassee.
",607847
"204341",20,"6/8/1995 0:00:00","0104","CST",173,"SEDGWICK","KS","THUNDERSTORM WINDS",29,"th","and","","",0,NA,0,"","Interstate 135",0,0,NA,0,0,0,0,"",0,"","","","",0,0,0,0,"Numerous large trees and limbs were blown down. ",204605
"737787",48,"4/26/2008 0:00:00","00:27:00 AM","CST",127,"DIMMIT","TX","HAIL",7,"W","WINTER HAVEN","4/26/2008 0:00:00","00:27:00 AM",0,NA,0,"","",0,0,NA,88,0,0,0,"K",0,"K","EWX","TEXAS, South Central","                                                                                                                                                                                                        ",2837,9958,0,0,"EVENT NARRATIVE: Nickel size hail fell at a ranch along Highway 277. EPISODE NARRATIVE: A weak cold front moved into the hill country during max heating with temperatures in the upper 80s and lower 90s. Convection fired along the cold front and a line of storms moved slowly southward across the area.",737756
"214082",29,"11/14/1993 0:00:00","0920","CST",153,"OZARK","MO","FLASH FLOOD",2,"N","Gainesville","","1400CST",0,NA,0,"","",0,0,NA,0,0,0,500,"K",0,"","","","",0,0,0,0,"A 27 foot travel home was washed away at Caney Mountain Refuge when the North Fork River flash flooded.  Permanent fencing around fields was also damaged across the southeast one-third of the county. ",214014
"788647",46,"10/30/2009 0:00:00","02:00:00 AM","CST",58,"SDZ053 - 058","SD","WINTER WEATHER",0,"","","10/30/2009 0:00:00","11:00:00 AM",0,NA,0,"","",0,0,NA,0,0,0,0,"K",0,"K","FSD","SOUTH DAKOTA, Southeast","SANBORN - SANBORN - AURORA",0,0,0,0,"EPISODE NARRATIVE: Widespread rain changed to wet snow over much of southeast south Dakota. Snow accumulations of 1 to 3 inches were reported in an area north of Interstate 90 from Plankinton to De Smet to Brookings during the morning and early afternoon. Several vehicles slid off roads into roadside ditches.EVENT NARRATIVE: Rain changed to wet snow, with the snow accumulating 1 to 3 inches. Several vehicles slid into roadside ditches.",788575
"767313",17,"6/10/2009 0:00:00","09:00:00 PM","CST",51,"FAYETTE","IL","THUNDERSTORM WIND",3,"W","BROWNSTOWN","6/10/2009 0:00:00","09:15:00 PM",0,NA,1,"SSW","AVENA",0,0,NA,52,0,0,0,"K",0,"K","LSX","ILLINOIS, Southwest","                                                                                                                                                                                                        ",3900,8900,3859,8855,"EPISODE NARRATIVE: A frontal boundary in the area triggered showers and thunderstorms.  Some of the storms produced severe weather and flash flooding.EVENT NARRATIVE: Thunderstorm winds caused minor damage in the Brownstown area.  Three miles west of Brownstown a few windows were blown out of a trailer. Just south of Brownstown several large tree limbs were blown down.",767313
"229337",41,"11/26/1994 0:00:00","2200","PST",0,"ORZ006 11 13","OR","HEAVY SNOW",0,"","","11/27/1994 0:00:00","2200PST",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","","","GREATER PORTLAND METRO AREA - GREATER PORTLAND METRO AREA",0,0,0,0,"Another November storm further increased the by now near-record (for this early in the season) Oregon mountain snowpack. Mt. Hood Meadows tallied 10 inches, Tipton, in the Northeast 
Mountains, reported 8 inches, and Austin, also in the Northeast Mountains, received 6 inches of snow. ",229324
"866546",54,"5/27/2011 0:00:00","05:00:00 PM","EST",57,"MINERAL","WV","FLASH FLOOD",1,"N","FT ASHBY","5/27/2011 0:00:00","06:30:00 PM",0,NA,1,"S","PATTERSON CREEK",0,0,NA,0,0,0,0,"K",0,"K","LWX","WEST VIRGINIA, East","                                                                                                                                                                                                        ",3930,7846,3933,7843,"EPISODE NARRATIVE: A nearly stationary front drifted east into the Potomac Highlands during the afternoon. Thunderstorms trained over the same area for several hours across locations that had saturated ground. Flash flooding resulted in Mineral County.EVENT NARRATIVE: Mudslides and rockslides were reported along Route 28.",866526
"872858",24,"6/12/2011 0:00:00","04:40:00 PM","EST",17,"CHARLES","MD","THUNDERSTORM WIND",0,"E","INDIAN HEAD","6/12/2011 0:00:00","04:40:00 PM",0,NA,0,"","",0,0,NA,56,0,0,5,"K",0,"K","LWX","MARYLAND, Central","                                                                                                                                                                                                        ",3836,7709,0,0,"EPISODE NARRATIVE: A cold front combined with moderate instability to trigger showers and thunderstorms on the twelfth. Stronger winds aloft due to an upper-level low over New England caused thunderstorms to become well organized. Thunderstorms were able to produce damaging wind gusts along wit large hail.EVENT NARRATIVE: Multiple trees were down around Indian Head.",872788
"563407",91,"10/30/2004 0:00:00","03:40:00 AM","EST",843,"NEW BUFFALO TO ST JOSEPH MI","LM","MARINE TSTM WIND",0,"","NEW BUFFALO HARBOR","10/30/2004 0:00:00","04:00:00 AM",0,NA,0,"","ST. JOSEPH HARBOR",0,0,NA,36,0,0,0,"",0,"","GRR","LAKE MICHIGAN","",0,0,0,0,"
A line of strong thunderstorms affected the nearshore waters of Lake Michigan from New Buffalo to Manistee.  A peak wind gust to 36 knots was recorded at the GLERL site in Muskegon along the Lake Michigan shoreline. A gust to 35 knots was recorded at the airport in Holland, and a gust to 36 knots was recorded at the GLERL site on the pier of South Haven.",563364
"286954",17,"4/5/1997 0:00:00","03:35:00 PM","CST",107,"LOGAN","IL","TSTM WIND",0,"","LINCOLN LOGAN CO ARP","4/5/1997 0:00:00","03:35:00 PM",0,NA,0,"","LINCOLN LOGAN CO ARP",0,0,NA,50,0,0,0,"",0,"","ILX","ILLINOIS, Central","",4009,8920,4009,8920,"A narrow line of severe thunderstorms moved east across Central Illinois.  Numerous trees, tree limbs, and power lines were blown down throughout the area with some areas sustaining more serious damage.  However, no deaths or injuries were reported.
 
",286923
"584470",31,"4/18/2005 0:00:00","04:44:00 PM","CST",53,"DODGE","NE","HAIL",1,"E","NICKERSON","4/18/2005 0:00:00","04:44:00 PM",0,NA,1,"E","NICKERSON",0,0,NA,75,0,0,0,"",0,"","OAX","NEBRASKA, East","",4132,9628,4132,9628,"",584470
"111521",38,"5/31/1960 0:00:00","2100","CST",17,"CASS","ND","TORNADO",0,"","","","",0,NA,0,"","",0,33,2,0,0,0,0,"K",0,"","","","",4652,9654,0,0,"",111521
"156160",48,"6/13/1975 0:00:00","1900","CST",151,"FISHER","TX","HAIL",0,"","","","",0,NA,0,"","",0,0,NA,125,0,0,0,"",0,"","","","",3251,10025,0,0,"",156160
"24506",13,"2/27/1984 0:00:00","0930","CST",49,"CHARLTON","GA","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","AT","","",3031,8202,0,0,"",24506
"169466",48,"4/13/1991 0:00:00","1324","CST",37,"BOWIE","TX","TSTM WIND",0,"","","","",0,NA,0,"","",0,0,NA,0,0,0,0,"",0,"","SHV","","",3325,9405,0,0,"",169466
"751697",1,"3/28/2009 0:00:00","04:29:00 AM","CST",39,"COVINGTON","AL","THUNDERSTORM WIND",0,"N","FLORALA","3/28/2009 0:00:00","04:31:00 AM",0,NA,0,"","",0,0,NA,50,0,0,30,"K",0,"K","MOB","ALABAMA, Southwest","                                                                                                                                                                                                        ",3100,8619,0,0,"EPISODE NARRATIVE: Thunderstorms moved across southwest Alabama and produced several reports of large hail, wind damage and flooding.EVENT NARRATIVE: Winds estimated at 60 mph downed a tree that fell on a trailer.",751687
"860564",40,"5/8/2011 0:00:00","05:07:00 PM","CST",31,"COMANCHE","OK","HAIL",4,"SW","LAWTON","5/8/2011 0:00:00","05:07:00 PM",0,NA,0,"","",0,0,NA,1,0,0,0,"K",0,"K","OUN","OKLAHOMA, Western Central and Southeast","                                                                                                                                                                                                        ",3434,9826,0,0,"EPISODE NARRATIVE: Thunderstorms developed east of a dry line that was located over parts of western Oklahoma during the afternoon of the 8th. Temperatures soared to over 100 degrees over the western third of Oklahoma, which helped to erode a stout cap that was in place. A shortwave moving east from western Texas aided in the development of thunderstorms. Marginally severe hail to quarter-size was reported near Lawton.EVENT NARRATIVE: ",860533
"853685",20,"4/14/2011 0:00:00","04:16:00 PM","CST",19,"CHAUTAUQUA","KS","TORNADO",2,"NE","ELGIN","4/14/2011 0:00:00","04:18:00 PM",0,NA,3,"NE","ELGIN",1,60,0,0,0,0,0,"K",0,"K","ICT","KANSAS, Southeast","                                                                                                                                                                                                        ",3701,9615,3701,9614,"EPISODE NARRATIVE: A powerful spring storm system over the Rocky mountains moved east and strengthened across the High Plains on April 14, 2011.  Thunderstorms rapidly developed by mid-afternoon along a dryline extending from southern Kansas to Texas. With abundant instability and wind shear, the storms became severe and moved rapidly northeast across central and southeast Kansas. Thunderstorms initially developed near the intersection of the dry air behind the dryline and the moisture which surged north from the Gulf of Mexico.  The line of severe thunderstorms produced a few brief tornadoes, several funnel clouds, quarter to tennis ball sized hail, and 70 mph winds during the evening of Thursday, April 14th, 2011.EVENT NARRATIVE: Tornado briefly touched down in open field.",853666
